id,data_year,school_name,private_flag,school_type,school_region,urbanization_level,enrollment_quota,new_student_count,stability,enrollment_rate,tuition_revenue_ratio,debt_ratio,net_income_ratio,totur_flag,closure_flag
1,106,國立中央大學,0,一般大學,桃園市中壢區,2,3713,3439,98.28,93.27,14.92,26.56,85.08,0,0
2,106,國立中山大學,0,一般大學,高雄市鼓山區,2,2983,2652,98.14,89.32,16.38,29.64,83.62,0,0
3,106,國立中正大學,0,一般大學,嘉義縣民雄鄉,4,3416,3113,98.81,91.37,22.26,16.45,77.74,0,0
4,106,國立中興大學,0,一般大學,臺中市南區,1,4471,4156,97.85,92.95,17.27,21.45,82.73,0,0
5,106,國立嘉義大學,0,一般大學,嘉義市東區,4,3572,3190,97.73,89.94,22.7,10.09,77.3,0,0
6,106,國立宜蘭大學,0,一般大學,宜蘭縣宜蘭市,4,1456,1348,97.44,92.84,22.96,11.7,77.04,0,0
7,106,國立屏東大學,0,一般大學,屏東縣屏東市,4,2351,2073,97.99,88.4,26.66,6.25,73.34,0,0
8,106,國立彰化師範大學,0,一般大學,彰化縣彰化市,4,2409,2272,98.47,94.79,27.09,25.41,72.91,0,0
9,106,國立成功大學,0,一般大學,臺南市東區,2,6371,5911,98.18,93.34,13.23,30.82,86.77,0,0
10,106,國立政治大學,0,一般大學,臺北市文山區,2,4110,3853,99.43,94.44,25.97,27.06,74.03,0,0
11,106,國立暨南國際大學,0,一般大學,南投縣埔里鎮,4,1718,1424,98.13,83.03,24.03,16.46,75.97,0,0
12,106,國立東華大學,0,一般大學,花蓮縣壽豐鄉,6,2702,2300,98.08,87.02,21.71,9.57,78.29,0,0
13,106,國立清華大學,0,一般大學,新竹市東區,2,4581,4280,98.74,94.56,12.27,27.14,87.73,0,0
14,106,國立聯合大學,0,一般大學,苗栗縣苗栗市,4,2150,1863,96.44,86.73,30.08,5.82,69.92,0,0
15,106,國立臺中教育大學,0,一般大學,臺中市西區,1,1360,1298,98.3,95.51,21.72,13.02,78.28,0,0
16,106,國立臺北大學,0,一般大學,新北市三峽區,3,2646,2515,98.05,95.19,28.9,8.5,71.1,0,0
17,106,國立臺北教育大學,0,一般大學,臺北市大安區,1,1611,1557,98.68,97.01,21.09,8.42,78.91,0,0
18,106,國立臺北藝術大學,0,一般大學,臺北市北投區,2,731,691,98.87,95.31,21.22,19.66,78.78,0,0
19,106,國立臺南大學,0,一般大學,臺南市中西區,2,1685,1504,98.3,89.36,23.73,12.38,76.27,0,0
20,106,國立臺南藝術大學,0,一般大學,臺南市官田區,6,420,379,97.9,90.24,17.13,3.83,82.87,0,0
21,106,國立臺東大學,0,一般大學,臺東縣臺東市,4,1459,1222,97.09,84.04,22.28,3.69,77.72,0,0
22,106,國立臺灣大學,0,一般大學,臺北市大安區,1,8537,8021,98.55,94.36,10.53,32.75,89.47,0,0
23,106,國立臺灣師範大學,0,一般大學,臺北市大安區,1,4030,3673,98.71,92.89,15.09,14.39,84.91,0,0
24,106,國立臺灣海洋大學,0,一般大學,基隆市中正區,4,2580,2225,98.08,86.47,20.17,15.42,79.83,0,0
25,106,國立臺灣藝術大學,0,一般大學,新北市板橋區,1,1366,1336,98.38,97.8,28.41,6.51,71.59,0,0
26,106,國立臺灣體育運動大學,0,一般大學,臺中市北區,1,781,735,95.62,94.23,24.1,5.19,75.9,0,0
27,106,國立金門大學,0,一般大學,金門縣金寧鄉,5,1096,963,96.29,88.19,31.8,10.95,68.2,0,0
28,106,國立陽明交通大學,0,一般大學,新竹市東區,2,4201,3962,98.35,94.76,13.33,34.72,86.67,0,0
29,106,國立陽明大學,0,一般大學,臺北市北投區,2,1286,1085,98.1,85.16,10.39,25.41,89.61,0,0
30,106,國立體育大學,0,一般大學,桃園市龜山區,3,638,606,97.81,94.98,17.16,5.19,82.84,0,0
31,106,國立高雄大學,0,一般大學,高雄市楠梓區,2,1545,1416,97.91,92.07,27.58,6.78,72.42,0,0
32,106,國立高雄師範大學,0,一般大學,高雄市苓雅區,1,2051,1848,98.26,90.1,24.65,10.52,75.35,0,0
33,106,臺北市立大學,0,一般大學,臺北市中正區,1,2073,1938,97.6,93.67,19.86,#N/A,80.14,0,0
34,106,國立勤益科技大學,0,技專校院,臺中市太平區,3,3118,2793,97.39,89.66,39.79,8.24,60.21,0,0
35,106,國立屏東科技大學,0,技專校院,屏東縣內埔鄉,6,2819,2365,97.66,84.16,26.01,18.75,73.99,0,0
36,106,國立澎湖科技大學,0,技專校院,澎湖縣馬公市,4,807,704,96.99,87.24,23.43,2.6,76.57,0,0
37,106,國立臺中科技大學,0,技專校院,臺中市北區,1,5006,4817,97.79,96.22,39.61,3.47,60.39,0,0
38,106,國立臺北商業大學,0,技專校院,臺北市中正區,1,2253,2171,98.59,96.92,35.58,2.8,64.42,0,0
39,106,國立臺北科技大學,0,技專校院,臺北市大安區,1,3444,3298,98.37,95.87,25.58,13.87,74.42,0,0
40,106,國立臺北護理健康大學,0,技專校院,臺北市北投區,2,1495,1442,98.76,96.84,28.89,5.29,71.11,0,0
41,106,國立臺南護理專科學校,0,技專校院,臺南市中西區,2,443,426,98.8,96.16,23.01,1.22,76.99,0,0
42,106,國立臺東專科學校,0,技專校院,臺東縣臺東市,4,611,400,94.37,65.68,15.27,2.37,84.73,0,0
43,106,國立臺灣戲曲學院,0,技專校院,臺北市內湖區,2,144,142,95.11,98.61,5.78,9.1,94.22,0,0
44,106,國立臺灣科技大學,0,技專校院,臺北市大安區,1,2626,2525,98.87,96.67,20.22,22.59,79.78,0,0
45,106,國立虎尾科技大學,0,技專校院,雲林縣虎尾鎮,4,2998,2610,97.91,87.17,29.39,11.05,70.61,0,0
46,106,國立雲林科技大學,0,技專校院,雲林縣斗六市,4,2728,2412,98.74,88.45,26.04,14.96,73.96,0,0
47,106,國立高雄應用科技大學,0,技專校院,高雄市三民區,2,3657,3406,#N/A,93.29,34.52,12.49,65.48,0,0
48,106,國立高雄海洋科技大學,0,技專校院,高雄市楠梓區,2,2005,1782,#N/A,88.88,29.25,15.99,70.75,0,0
49,106,國立高雄第一科技大學,0,技專校院,高雄市燕巢區,6,2156,1971,#N/A,91.59,27.03,12.28,72.97,0,0
50,106,國立高雄餐旅大學,0,技專校院,高雄市小港區,4,1227,1136,99.05,92.73,31.88,12,68.12,0,0
51,106,世新大學,1,一般大學,臺北市文山區,2,2869,2591,98.09,90.44,66.81,3.33,33.19,0,0
52,106,中信學校財團法人中信金融管理學院,1,一般大學,臺南市安南區,3,180,180,96.7,100,16.61,9.41,83.39,0,0
53,106,中原大學,1,一般大學,桃園市中壢區,2,4269,3988,97.91,93.42,51.03,7.24,48.97,0,0
54,106,中國文化大學,1,一般大學,臺北市士林區,2,6881,5904,95.84,85.86,57.68,3.61,42.32,0,0
55,106,中國醫藥大學,1,一般大學,臺中市北區,1,1753,1568,98.11,89.55,18.32,4.79,81.68,0,0
56,106,中山醫學大學,1,一般大學,臺中市南區,1,1921,1713,97.4,89.27,44.05,34.76,55.95,0,0
57,106,中華大學學校財團法人中華大學,1,一般大學,新竹市香山區,3,2205,1485,95.63,68.03,56.21,8.22,43.79,0,0
58,106,亞洲大學,1,一般大學,臺中市霧峰區,4,3278,2970,95.96,90.63,56.24,20.2,43.76,0,0
59,106,佛光大學,1,一般大學,宜蘭縣礁溪鄉,4,1246,994,96.28,79.9,38.84,3.86,61.16,0,0
60,106,元智大學,1,一般大學,桃園市中壢區,2,2658,2170,98.26,81.67,47.02,2.01,52.98,0,0
61,106,南華大學,1,一般大學,嘉義縣大林鎮,6,1754,1513,95.79,87.15,40.48,3.91,59.52,0,0
62,106,台灣首府學校財團法人台灣首府大學,1,一般大學,臺南市麻豆區,6,880,469,92.27,53.36,68.12,1.55,31.88,0,0
63,106,大同大學,1,一般大學,臺北市中山區,1,1295,1104,96.92,85.25,51.86,1.8,48.14,0,0
64,106,大葉大學,1,一般大學,彰化縣大村鄉,8,3902,2495,95.95,63.94,65.93,6.21,34.07,0,0
65,106,實踐大學,1,一般大學,臺北市中山區,1,3978,3186,95.87,80.09,63.95,9.02,36.05,0,0
66,106,康寧學校財團法人康寧大學,1,一般大學,臺北市內湖區,2,1580,1233,92.26,78.04,59.73,3.85,40.27,0,0
67,106,慈濟學校財團法人慈濟大學,1,一般大學,花蓮縣花蓮市,4,935,724,96.95,77.68,21.53,2.3,78.47,0,0
68,106,明道學校財團法人明道大學,1,一般大學,彰化縣埤頭鄉,6,1676,876,94.08,52.49,57.21,14.38,42.79,0,0
69,106,東吳大學,1,一般大學,臺北市士林區,2,3907,3650,97.6,93.45,62.34,7.81,37.66,0,0
70,106,東海大學,1,一般大學,臺中市西屯區,2,4329,3850,97.78,89.06,60.08,7.74,39.92,0,0
