origin,dest,count
七張站,七張站,225
七張站,三和國中站,40
七張站,三民高中站,41
七張站,三重國小站,42
七張站,三重站,29
七張站,中山國中站,28
七張站,中山國小站,80
七張站,中山站,526
七張站,中正紀念堂站,239
七張站,丹鳳站,14
七張站,亞東醫院站,48
七張站,信義安和站,85
七張站,先嗇宮站,5
七張站,內湖站,11
七張站,公館站,592
七張站,六張犁站,4
七張站,劍南路站,19
七張站,劍潭站,123
七張站,動物園站,7
七張站,北投站,56
七張站,北門站,276
七張站,南京三民站,130
七張站,南京復興站,206
七張站,南勢角站,37
七張站,南港展覽館站,63
七張站,南港站,45
七張站,南港軟體園區站,2
七張站,古亭站,286
七張站,台北101/世貿站,153
七張站,台北小巨蛋站,105
七張站,台北橋站,51
七張站,台北車站,1316
七張站,台大醫院站,127
七張站,台電大樓站,228
七張站,唭哩岸站,19
七張站,善導寺站,61
七張站,國父紀念館站,126
七張站,圓山站,262
七張站,土城站,17
七張站,士林站,112
七張站,大坪林站,332
七張站,大安森林公園站,62
七張站,大安站,94
七張站,大橋頭站,57
七張站,大湖公園站,11
七張站,大直站,14
七張站,奇岩站,24
七張站,小南門站,87
七張站,小碧潭站,448
七張站,市政府站,157
七張站,府中站,66
七張站,後山埤站,22
七張站,徐匯中學站,30
七張站,復興崗站,9
七張站,忠孝復興站,197
七張站,忠孝敦化站,103
七張站,忠孝新生站,190
七張站,忠義站,10
七張站,文德站,3
七張站,新北投站,43
七張站,新埔站,50
七張站,新店區公所站,203
七張站,新店站,664
七張站,新莊站,17
七張站,昆陽站,22
七張站,明德站,21
七張站,景美站,530
七張站,木柵站,2
七張站,東湖站,9
七張站,東門站,137
七張站,松山機場站,18
七張站,松山站,186
七張站,松江南京站,153
七張站,板橋站,73
七張站,民權西路站,69
七張站,永安市場站,75
七張站,永寧站,40
七張站,永春站,39
七張站,江子翠站,69
七張站,海山站,43
七張站,淡水站,150
七張站,港墘站,11
七張站,石牌站,91
七張站,科技大樓站,18
七張站,竹圍站,16
七張站,紅樹林站,55
七張站,芝山站,90
七張站,菜寮站,37
七張站,萬芳社區站,1
七張站,萬芳醫院站,1
七張站,萬隆站,199
七張站,葫洲站,6
七張站,蘆洲站,52
七張站,行天宮站,148
七張站,西湖站,11
七張站,西門站,684
七張站,象山站,53
七張站,輔大站,28
七張站,迴龍站,26
七張站,關渡站,27
七張站,雙連站,105
七張站,頂埔站,22
七張站,頂溪站,155
七張站,麟光站,3
七張站,龍山寺站,175
三和國中站,七張站,37
三和國中站,三和國中站,106
三和國中站,三民高中站,90
三和國中站,三重國小站,191
三和國中站,三重站,162
三和國中站,中山國中站,4
三和國中站,中山國小站,213
三和國中站,中山站,483
三和國中站,中正紀念堂站,54
三和國中站,丹鳳站,49
三和國中站,亞東醫院站,35
三和國中站,信義安和站,93
三和國中站,先嗇宮站,34
三和國中站,內湖站,11
三和國中站,公館站,89
三和國中站,六張犁站,33
三和國中站,劍南路站,30
三和國中站,劍潭站,165
三和國中站,動物園站,46
三和國中站,北投站,33
三和國中站,北門站,28
三和國中站,南京三民站,83
三和國中站,南京復興站,186
三和國中站,南勢角站,98
三和國中站,南港展覽館站,119
三和國中站,南港站,44
三和國中站,南港軟體園區站,14
三和國中站,古亭站,126
三和國中站,台北101/世貿站,290
三和國中站,台北小巨蛋站,101
三和國中站,台北橋站,98
三和國中站,台北車站,1240
三和國中站,台大醫院站,104
三和國中站,台電大樓站,49
三和國中站,唭哩岸站,15
三和國中站,善導寺站,53
三和國中站,國父紀念館站,244
三和國中站,圓山站,288
三和國中站,土城站,14
三和國中站,士林站,114
三和國中站,大坪林站,58
